group,d_sample,theta_pool,phi_pool,ratio,fbar,c,d_pool,d_clonal,theta_s,phi_s
boot_52,0.14029824119364134,0.5452186981842296,1.0507192493193447,1.9271518985291773,30000,0.4443525107435921,0.3157104079885736,2.074829142171806e-05,2.0748865426393446e-05,3.9986215398800535e-05
boot_51,0.13495939655708902,0.5799628548675967,1.4438801377900659,2.4896079562193654,30000,0.4126240419787153,0.32705585690511696,1.4108388288971107e-05,1.4108653689457088e-05,3.512501647681607e-05
boot_53,0.11765074618848441,0.5782616627676365,1.1098371009978736,1.919264534477432,30000,0.36029481321394685,0.32651416451488546,1.4672810350320757e-05,1.4673097411088176e-05,2.816155547203416e-05
boot_54,0.12815489969834698,0.5780944059941748,1.238635724668177,2.1426184232626153,30000,0.3925302123728682,0.3264608318044018,1.507903591011206e-05,1.507933908597283e-05,3.2309269736229424e-05
boot_55,0.1360455378872268,0.5543913217339299,1.2011002416356087,2.1665206408336513,30000,0.426759378872233,0.31876438026874665,1.718119194838485e-05,1.7181585548543897e-05,3.722425973316952e-05
boot_57,0.10944372044201588,0.5245930699833115,1.075719706597758,2.0505793311985214,30000,0.35452289261890585,0.30868267822343887,1.3392352404991061e-05,1.3392591549398588e-05,2.7462571422380725e-05
boot_56,0.13563414028313622,0.5374097567331387,1.0495856028683428,1.9530453061527406,30000,0.4331950575097344,0.31307617131365423,1.9566247855217174e-05,1.9566758319274503e-05,3.821476549208416e-05
boot_58,0.14374985366075918,0.5501400942683975,1.1667964176262335,2.120907801090002,30000,0.452929639052587,0.3173543162927187,1.9518020495696688e-05,1.951852844641437e-05,4.139699924779736e-05
boot_59,0.12248016772313189,0.5959089966569605,1.3446495975066568,2.2564680262424606,30000,0.3688172997456997,0.33206684003363746,1.2947830850285691e-05,1.2948054382576339e-05,2.9216870716332077e-05
boot_60,0.10894562956353236,0.5125411296431951,0.9363118741205254,1.826803391900154,30000,0.3577884557782747,0.30446995999332926,1.5248474952062241e-05,1.5248784979683325e-05,2.7856532123241618e-05
boot_62,0.11875377212769284,0.5227230161484843,1.0761767965297697,2.058789766823797,30000,0.3854909491061389,0.3080342361512106,1.523505075234872e-05,1.523536023433059e-05,3.136640374431402e-05
boot_61,0.1349602866198325,0.548208079217266,0.9946791878074241,1.814419060054043,30000,0.4260943917242953,0.31671044572519497,2.045962899782389e-05,2.0460187141608085e-05,3.712335352200636e-05
boot_63,0.13842275547456845,0.5674952773415237,1.179364065666928,2.078191859484279,30000,0.42845054474959043,0.32305349804742595,1.803562717691248e-05,1.8036060899139303e-05,3.748239493775401e-05
boot_64,0.12316172411799031,0.5445839968836921,1.1453357872138443,2.10313889825605,30000,0.3903436609994698,0.3154974869502144,1.5221732503235462e-05,1.5222041444359486e-05,3.2014067472498145e-05
boot_65,0.1398500969980543,0.5476461242995738,1.0582610290400511,1.9323811163523552,30000,0.4417964920212832,0.3165228065905728,2.0478913953016668e-05,2.047947314950791e-05,3.957414718695418e-05
boot_66,0.126500020917704,0.5723991964869686,1.1450872379168957,2.0005046215031945,30000,0.38963634452627965,0.3246367651354339,1.5955162811229426e-05,1.5955502241410755e-05,3.19190559723468e-05
boot_67,0.14183383023919016,0.6114234995507041,1.2003216612049115,1.9631591884952915,30000,0.42105307791655366,0.3368295205822172,1.852305363648395e-05,1.8523511119137278e-05,3.6364601056729046e-05
boot_69,0.11732918548937694,0.5586706412459626,1.066254104736688,1.908555821653164,30000,0.36642387955459305,0.3201745097112796,1.5151307270582674e-05,1.5151613359582216e-05,2.891769988486849e-05
boot_68,0.1403021341808021,0.5215567071200529,1.0006353320225425,1.9185551990077552,30000,0.45603735882873847,0.30762885221689756,2.1848773044829113e-05,2.1849409555216496e-05,4.1919298297410335e-05
boot_70,0.1286583004832953,0.5498683181701518,1.0343062700699175,1.8810072082564697,30000,0.4054906297755559,0.3172638588562252,1.813016110645696e-05,1.8130599387374092e-05,3.4103788137661e-05
boot_71,0.1409603201857662,0.5947385604374243,1.292354648701126,2.172979414266685,30000,0.42492985962134483,0.3317030785396481,1.7002423285596675e-05,1.7002808737531605e-05,3.69467533713699e-05
boot_72,0.1022513638245709,0.5197547181820777,0.9301696620785926,1.789631973581701,30000,0.33303487870267506,0.3070010554437335,1.3950599479284075e-05,1.3950858976412037e-05,2.4966903283116265e-05
boot_73,0.1316236237963161,0.5594263579813787,1.1258716863859695,2.0125467281315434,30000,0.41074951759374206,0.3204225773588718,1.731813604007934e-05,1.7318535939761235e-05,3.485436284159502e-05
boot_74,0.15012806201573073,0.5746995113172063,1.2289328209738113,2.1383919714097335,30000,0.4613663918097414,0.3253754000855018,2.0027889956521586e-05,2.0028424792638587e-05,4.2828622776562014e-05
boot_76,0.12935023854173294,0.5528587282988873,1.224248415485855,2.2143964684301776,30000,0.40640432017943173,0.3182571043336039,1.5459028884679407e-05,1.545934753334615e-05,3.423312458207649e-05
boot_75,0.1369487407977678,0.59125033631218,1.205261132048178,2.038495469729087,30000,0.41419323812453473,0.33061520301525843,1.7342387180645503e-05,1.7342788201109203e-05,3.535319518043217e-05
boot_77,0.13156471288261226,0.5334040617846973,1.0573119592867024,1.9821970529228454,30000,0.4220365917501428,0.3117124670637325,1.8419292387658963e-05,1.841974475921153e-05,3.651156377730012e-05
boot_78,0.15002293078464699,0.5860971654956865,1.2569513286039289,2.144612536286323,30000,0.45596764711918525,0.3289976848043721,1.9540265724635146e-05,1.9540774833878773e-05,4.1907390677484704e-05
boot_79,0.11797453405321143,0.5245869774604045,1.1118162336019395,2.119412569073655,30000,0.3821604930369329,0.3086805687276259,1.4592328977748e-05,1.4592612898025406e-05,3.092776719170138e-05
boot_80,0.12352366139711478,0.5272343246642667,0.9470599143180738,1.7962789409076212,30000,0.39894842289276217,0.3095952996738805,1.8475714283146036e-05,1.8476169430382627e-05,3.318835405643747e-05
